title,company,location_text,published_at,salary_min,salary_max,source
Municipal Attorney,Lozano Smith,"Walnut Creek, CA",2024-04-20 00:08:55+00:00,110000.0,160000.0,kaggle
Game Developer Unreal Engine - REV SHARE,3MetaD,United States,2024-04-20 00:08:44+00:00,,,kaggle
Phlebotomist,Synectics Inc.,"Irving, Texas, United States",2024-04-20 00:08:33+00:00,,,kaggle
Phlebotomist,Synectics Inc.,Bowling Green Metropolitan Area,2024-04-20 00:08:33+00:00,,,kaggle
Laboratory Technician,Synectics Inc.,"Liberty Corner, NJ",2024-04-20 00:08:33+00:00,,,kaggle
Phlebotomist,Synectics Inc.,"Millbrook, Alabama, United States",2024-04-20 00:08:33+00:00,,,kaggle
Phlebotomist - Float,Synectics Inc.,"Carroll County, MD",2024-04-20 00:08:33+00:00,,,kaggle
Phlebotomist,Synectics Inc.,"Kansas City, Missouri, United States",2024-04-20 00:08:33+00:00,,,kaggle
Communications Administrator (Translation process),Synectics Inc.,"Minnesota, United States",2024-04-20 00:08:33+00:00,,,kaggle
Phlebotomist,Synectics Inc.,"Ridge, KS",2024-04-20 00:08:33+00:00,,,kaggle
